"<p>&bull; Brown hoodie with black detail.<br />&bull; Pullover. <br />&bull; Adjustable drawstring hood. <br />&bull; Ribbed cuffs/waistband. <br />&bull; Machine wash/dry.</p>\"",,
WJ10-S-Black,Nadia Elements Shell-S-Black,"<p>Protect yourself from wind and rain in the stylish Nadia Elements Shell. It repels water using hydro-resistant fabric, with fleece lining that adds a touch of warmth. It's finished with bold contrast zippers, adjustable cuffs and a hood.</p>"
"<p>&bull; Zippered front. <br />&bull; Zippered side pockets. <br />&bull; Drawstring-adjustable waist and hood. <br />&bull; Machine wash/line dry.<br />&bull; Light blue 1/4 zip pullover.</p>\"",,
MSH01-36-Blue,Cobalt CoolTech&trade; Fitness Short-36-Blue,"<p>It's not rocket surgery: the hotter your conditions, the more you need to stay cool. That's why the Cobalt CoolTech&trade; Fitness Short features built-in technology and side perforations that keep you ventilated and comfortable for the distance. The elastic waist promises a personalized fit.</p>"
"<p>&bull; Light blue nylon shorts.<br />&bull; Relaxed fit. <br />&bull; 5\\" inseam. <br />&bull; Machine wash/dry.</p>\"",,
WJ11-M-Blue,Neve Studio Dance Jacket-M-Blue,"<p>If you're constantly on the move, the Neve Studio Dance Jacket is for you. It's not just for dance, either, with a tight fit that works as a mid-layer. The reversible design makes it even more versatile.</p>"
"<p>&bull; Bright blue 1/4 zip pullover.<br />&bull; CoolTech&trade; liner is sweat-wicking.<br />&bull; Sleeve thumbholes.<br />&bull; Zipper garage to protect your chin.<br />&bull; Stretchy collar drawcords.</p>\"",,
MJ10-S-Red,Mars HeatTech&trade; Pullover-S-Red,"<p>The Mars HeatTech&trade; Jacket defense against winter climes so you can play offense in the park, on the trail or in the deck chair. Great for the ski lodge or stadium, it features a wind- and water-resistant outer shell with a draw-cord hood and deep pockets for storage.</p>"
"<p>&bull; Red 1/4 zip pullover.<br />&bull; Adjustable VELCRO&reg; sleeve cuffs. <br />&bull; Two hand pockets. <br />&bull; Napoleon pocket. <br />&bull; Machine wash/dry</p>\"",,
WT06-S-Red,Chloe Compete Tank-S-Red,"<p>You've earned your figure, so stay cool and let it do all the talking in the form-fitted, sleek racerback Chloe Compete Tank. Designed for total range of motion and performance, the Nona is made with highly breathable mesh fabric.</p>"
"<p>&bull; Royal blue tank top - nylon/spandex.<br />&bull; Flatlock stitching.<br />&bull; Moisture-wicking fabric. <br />&bull; Ergonomic seaming. <br />&bull; Machine wash/dry.</p>\"",,
MJ10-L-Orange,Mars HeatTech&trade; Pullover-L-Orange,"<p>The Mars HeatTech&trade; Jacket defense against winter climes so you can play offense in the park, on the trail or in the deck chair. Great for the ski lodge or stadium, it features a wind- and water-resistant outer shell with a draw-cord hood and deep pockets for storage.</p>"
"<p>&bull; Red 1/4 zip pullover.<br />&bull; Adjustable VELCRO&reg; sleeve cuffs. <br />&bull; Two hand pockets. <br />&bull; Napoleon pocket. <br />&bull; Machine wash/dry</p>\"",,
MS01-L-Brown,Aero Daily Fitness Tee-L-Brown,<p>Need an everyday action tee that helps keep you dry? The Aero Daily Fitness Tee is made of 100% polyester wicking knit that funnels moisture away from your skin. Don't be fooled by its classic style; this tee hides premium performance technology beneath its unassuming look.</p>
"<p>Relaxed fit. <br />Short-Sleeve. <br />Machine wash/dry.</p>\"",,
MJ01-XL-Yellow,Beaumont Summit Kit-XL-Yellow,"<p>The smooth nylon shell around the Beaumont Summit Kit combats wind, reinforced with a cold-fighting brushed fleece layer. The jacket is reversible, giving you a new look for the return trek. Ample pocket space rounds out this hiker's paradise package.</p>"
"<p>&bull; Yellow full zip rain jacket.<br />&bull; Full-zip front. <br />&bull; Stand-up collar. <br />&bull; Elasticized cuffs. <br />&bull; Machine wash/dry.</p>\"",,
MP10-33-Green,Orestes Yoga Pant -33-Green,<p>The Orestes Yoga Pant is a yoga basic that sustains the novice yogi well into the expert stage. Organic sustainable cotton and 9% stretch spandex let your body bend to your will while your conscience stays clear.</p>
"<p>&bull; A yoga essential.<br />&bull; Breathable stretch organic cotton/spandex.<br />&bull; Standard Fit.</p>\"",,
WH10-S-Yellow,Helena Hooded Fleece-S-Yellow,"<p>Wear this hoodie after the gym or before a chilly weather bike ride. Either way, this versatile sweatshirt offers an effortlessly appealing silhouette and a super-comfy fit. Smooth, stretchy fabric creates flattering shape, while the full-zip placket and hood help block gusty winds.</p>"
"<p>Full zip. <br />Banded cuffs and waist. <br />Front pockets. <br />Machine wash/dry.</p>\"",,
WB05-L-Black,Lucia Cross-Fit Bra -L-Black,"<p>Being cool is a big part of being comfy, which is why the Lucia Cross-Fit Bra features moisture-wicking technology as well as soft, lightweight fabric.</p>"
"<p>&bull; Black/white bra top. <br />&bull; Criss-cross back design. <br />&bull; Machine wash/dry.</p>\"",,
MT03-XS-Red,Primo Endurance Tank-XS-Red,"<p>Chances are your workout goes beyond free weights, which is why the Primo Endurance Tank employs maximum versatility. Run, lift or play ball &ndash; this breathable mesh top will keep you cool during all your activities.</p>"
"<p>&bull; Red heather tank with gray pocket.<br />&bull; Chafe-resistant flatlock seams. <br />&bull; Relaxed fit. <br />&bull; Contrast topstitching.<br />&bull; Machine wash/dry.</p>\"",,
WS11-L-Green,Diva Gym Tee-L-Green,"<p>The Diva Gym Tee feels like your favorite right out of the mailbox. Micro-sleeved, lightweight and extra comfortable, it's a casual staple that hides incredible comfort behind a laid-back, carefree look.</p>"
"<p>&bull; Bright yellow v-neck tee.<br />&bull; Moisture-wicking fabric. <br />&bull; Long-Sleeves. <br />&bull; Machine wash/line dry.</p>\"",,
WB02-XL-Blue,Erica Evercool Sports Bra-XL-Blue,"<p>Perfect for medium-impact workouts, our Erica EverCool&trade; Sports Bra brings a brilliant combo of comfort and style. Moisture-wicking technology keeps you dry, and the flattering hybrid racerback promises an unbeatable range of motion.</p>"
"<p>&bull; Honeycomb light blue bra top.<br />&bull; Elastic hem.<br />&bull; Reinforced binding. <br />&bull; Machine wash/dry.</p>\"",,
WP04-28-Blue,Cora Parachute Pant-28-Blue,"<p>Good for running, hiking, lounging or stretching, the Cora Parachute Pant presents comfortable styling designed to help you look and feel great.</p>"
"<p>&bull; Light blue parachute pants.<br />&bull; Power mesh internal waistband for support.<br />&bull; Internal waistband pocket.<br />&bull; Antimicrobial finish.</p>\"",,
WS02-XL-Green,Gabrielle Micro Sleeve Top-XL-Green,"<p>Luma's most popular top, the Gabrielle Micro Sleeve is back with even more comfort and style.</p>"
<p>&bull; Lime green v-neck tee.<br />&bull; Slimming,quick-drying,"and anti-odor construction.<br />&bull; Longer curved hem provides additional coverage.<br />&bull; 55% Hemp / 45% Organic Cotton.</p>\""
WJ11-XL-Blue,Neve Studio Dance Jacket-XL-Blue,"<p>If you're constantly on the move, the Neve Studio Dance Jacket is for you. It's not just for dance, either, with a tight fit that works as a mid-layer. The reversible design makes it even more versatile.</p>"
"<p>&bull; Bright blue 1/4 zip pullover.<br />&bull; CoolTech&trade; liner is sweat-wicking.<br />&bull; Sleeve thumbholes.<br />&bull; Zipper garage to protect your chin.<br />&bull; Stretchy collar drawcords.</p>\"",,
MS01-L-Yellow,Aero Daily Fitness Tee-L-Yellow,<p>Need an everyday action tee that helps keep you dry? The Aero Daily Fitness Tee is made of 100% polyester wicking knit that funnels moisture away from your skin. Don't be fooled by its classic style; this tee hides premium performance technology beneath its unassuming look.</p>
"<p>Relaxed fit. <br />Short-Sleeve. <br />Machine wash/dry.</p>\"",,
WS06-S-Red,Elisa EverCool&trade; Tee-S-Red,"<p>When rising temps threaten to melt you down, Elisa EverCool&trade; Tee brings serious relief. Moisture-wicking fabric pulls sweat away from your skin, while the innovative seams hug your muscles to enhance your range of motion.</p>"
"<p>&bull; Purple heather v-neck tee.<br />&bull; Short-Sleeves.<br />&bull; Luma EverCool&trade; fabric. <br />&bull; Machine wash/line dry.</p>\"",,
MH12-L-Blue,Ajax Full-Zip Sweatshirt -L-Blue,"<p>The Ajax Full-Zip Sweatshirt makes the optimal layering or outer piece for archers, golfers, hikers and virtually any other sportsmen. Not only does it have top-notch moisture-wicking abilities, but the tight-weave fabric also prevents pilling from repeated wash-and-wear cycles.</p>"
"<p>&bull; Mint striped full zip hoodie.<br />&bull; 100% bonded polyester fleece.<br />&bull; Pouch pocket.<br />&bull; Rib cuffs and hem. <br />&bull; Machine washable.</p>\"",,
WSH04-32-Black,Artemis Running Short-32-Black,<p>Discover smooth jogging and chic comfort each time you slip into the Artemis Running Short. A unique maritime-inspired design and oolor theme features a stretchy drawstring waist.</p>
<p>&bull; Black rouched shorts with mint waist. <br />&bull; Soft,shorts-women,
MP01-36-Black,Caesar Warm-Up Pant-36-Black,<p>Command your workout and keep your muscles limber in the Caesar Warm-Up Pant. Engineered CoolTech&trade; fabric wicks away moisture so you don't have to worry about sweat and discomfort. The drawstring-adjustable waist helps make sure your pants fit properly.</p>
"<p>&bull; Light gray heather knit straight leg pants.<br />&bull; Relaxed fit. <br />&bull; Inseam: 32\\". <br />&bull; Machine wash/dry.<br />&bull; CoolTech&trade; wicking fabric.</p>\"",,
MH12-L-Green,Ajax Full-Zip Sweatshirt -L-Green,"<p>The Ajax Full-Zip Sweatshirt makes the optimal layering or outer piece for archers, golfers, hikers and virtually any other sportsmen. Not only does it have top-notch moisture-wicking abilities, but the tight-weave fabric also prevents pilling from repeated wash-and-wear cycles.</p>"
"<p>&bull; Mint striped full zip hoodie.<br />&bull; 100% bonded polyester fleece.<br />&bull; Pouch pocket.<br />&bull; Rib cuffs and hem. <br />&bull; Machine washable.</p>\"",,
MH06-XS-Purple,Stark Fundamental Hoodie-XS-Purple,"<p>You don't need bells and whistles when performance speaks for itself. The full-zip Stark Fundamental Hoodie give just what you need. Hood and fleece lining keep you warm, while breathable fabric and wicking technology won't let you overheat.</p>"
<p>&bull; Navy specked full zip hoodie.<br />&bull; Ribbed cuffs,hoodies-and-sweatshirts-men,
WT07-M-Yellow,Maya Tunic-M-Yellow,"<p>With abutted seams and moisture wicking capacity, the Maya Tunic lets you work out in complete comfort.</p>"
"<p>&bull; Mint green heather tunic-style tank. <br />&bull; Wrapped back with cut out detail.<br />&bull; Drawcord detail at end.<br />&bull; Abutted seams.</p>\"",,
WT03-S-Red,Nora Practice Tank-S-Red,"<p>A closet go-to, the Nora Practice Tank can be worn at or after workouts or beneath a baggy tee for a laid-back style. Perfect fit and very comfortable!</p>"
"<p>&bull; Pink stripped tank with side rouching.<br />&bull; Pre-shrunk.<br />&bull; Garment dyed.<br />&bull; 92% Organic Cotton/8% Lycra.</p>\"",,
MSH12-32-Red,Pierce Gym Short-32-Red,"<p>The Pierce Gym Short is similar to our Arcadio Gym Short, but designed with a fitted, tapered look. A flat waistband with an adjustable drawstring adds comfort, with zippered pockets for safe, easy storage.</p>"
<p>&bull; Dark red cotton shorts. <br />&bull; 87% Supplex,"tumble dry low.</p>\"",
WSH01-32-Red,Fiona Fitness Short-32-Red,"<p>Don't let the plain style fool you: the Fiona Fitness Short demands notice on several levels. Comfort, of course. But also a performance-grade wicking fabric that takes everything you can give.</p>"
"<p>&bull; Black run shorts <br />- cotton/spandex.<br />&bull; 5&rdquo; inseam.<br />&bull; Machine wash/Line dry.</p>\"",,
MS09-S-Blue,Ryker LumaTech&trade; Tee (Crew-neck)-S-Blue,<p>The crew-neck Ryker LumaTech&trade; Tee hides premium performance technology beneath unassuming looks. The featherweight blend of fabrics wicks away moisture to keep you cool and dry in every phase of your active life.</p>
"<p>&bull; Royal polyester tee with black accents.<br />&bull; Relaxed fit. <br />&bull; Short-Sleeve. <br />&bull; Machine wash/dry.</p>\"",,
WJ04-XS-White,Ingrid Running Jacket-XS-White,"<p>The Ingrid Running Jacket combines sleek design and high performance with slim, contoured fit and moisture-wicking fabric. It features a full-zip construction and a collared neck to keep the elements out and body heat in. <br />&bull; Slim fit. <br />&bull; Moisture-wicking fabric. <br />&bull; Two side pockets. <br />&bull; Zippered pocket at back waist. <br />&bull; Machine wash/dry.<br />&bull; Ivory specked full zip</p>"
MS10-XS-Blue,Logan  HeatTec&reg; Tee-XS-Blue,"<p>Soft and lightweight, the Logan HeatTec&reg; Tee gets you through the long haul in total comfort. It boasts superior sweat-wicking performance to keep skin dry and cool, and strategic flat-lock seams to resist chafing.</p>"
"<p>&bull; Semi-fitted. <br />&bull; Crew neckline. <br />&bull; Machine wash/tumble dry.</p>\"",,
WH11-M-Green,Eos V-Neck Hoodie-M-Green,<p>Getting chilly before class starts? Wear the Eos on your way to and from yoga for a cute and cozy warmup piece. Reach for its reliable comfort and enjoy a super-soft blend of fabrics finished in sporty style that includes a hidden kangaroo pocket.</p>
"<p>Semi-fitted. <br />Long-Sleeve. <br />Machine wash/line dry.</p>\"",,
WS02-L-Blue,Gabrielle Micro Sleeve Top-L-Blue,"<p>Luma's most popular top, the Gabrielle Micro Sleeve is back with even more comfort and style.</p>"
<p>&bull; Lime green v-neck tee.<br />&bull; Slimming,quick-drying,"and anti-odor construction.<br />&bull; Longer curved hem provides additional coverage.<br />&bull; 55% Hemp / 45% Organic Cotton.</p>\""
WB05-XS-Purple,Lucia Cross-Fit Bra -XS-Purple,"<p>Being cool is a big part of being comfy, which is why the Lucia Cross-Fit Bra features moisture-wicking technology as well as soft, lightweight fabric.</p>"
"<p>&bull; Black/white bra top. <br />&bull; Criss-cross back design. <br />&bull; Machine wash/dry.</p>\"",,
MSH09-36-Blue,Troy Yoga Short-36-Blue,"<p>The versatile, all-purpose Troy Yoga Short is knee-lengthed with an elastic waistband with drawstring, making it comfortably flexible. The removable LumaTech&trade; wicking liner is also bacteria resistant.</p>"
"<p>&bull; Navy polyester pinstripe shorts.<br />&bull; Woven fabric with moderate stretch.<br />&bull; 62% cotton/34% nylon/4% spandex.<br />&bull; LumaTech&trade; lining.</p>\"",,
WJ05-L-Green,Riona Full Zip Jacket-L-Green,"<p>The Riona Basic Zip Jacket makes the perfect extra layer for cold-weather workouts. It features amazing breathability and moisture management, but full-length zipper lets you moderate your core temperature even more.</p>"
<p>&bull; Brown heather full zip rouched jacket.<br />&bull; Side hand pockets for extra storage.<br />&bull; High collar.<br />&bull; Thick cuffs for extra coverage.<br />&bull; Durable,jackets-women,
WH09-L-Purple,Ariel Roll Sleeve Sweatshirt-L-Purple,"<p>Soft, sleek and subtle, the Ariel Roll Sleeve Sweatshirt is a nuanced fitness garment for all occasions. It works equally well as a workout piece or in a casual social setting.</p>"
<p>&bull; Purple two-tone lightweight hoodie. <br />&bull; 100% cotton.<br />&bull; Adjustable roll sleeves for Long-Sleeve or 3/4 sleeve.<br />&bull; Casual,hoodies-and-sweatshirts-women,
MSH11-34-Red,Arcadio Gym Short-34-Red,"<p>The Arcadio Gym short is a basic-looking piece with a lot more than meets the eye: casual-yet-functional relaxed fit, comfortable waistband and adjustable drawstring. Everything you need, plus more.</p>"
"<p>&bull; Royal blue cotton shorts.<br />&bull; Built-in mesh brief. <br />&bull; 87% Spandex 13% Lycra.<br />&bull; Adjustable drawstring.</p>\"",,
WH02-L-Green,Hera Pullover Hoodie-L-Green,"<p>Get ready to rule the studio and dominate the yoga mat in the Hera Pullover Hoodie, a cozy yet classy look for any level of yogi.</p>"
"<p>&bull; Teal with purple stiching.<br />&bull; Hoodie pullover.<br />&bull; Snug fit.</p>\"",,
WS04-XS-Green,Layla Tee-XS-Green,"<p>Work out or hang out in chic style in the Layla Tee. With a lightweight sheer design and a roomy neckline, this tee fits you comfortably while looking stylish.</p>"
"<p>&bull; Teal tee.<br />&bull; Long back hem.<br />&bull; Dropped shoulders.</p>\"",,
WT01-XS-Orange,Bella Tank-XS-Orange,"<p>Style, performance and comfort mix it up in the Bella Tank. With striking color block contrast, fitted form and a built-in bra, you'll be supported and stylish at the same time.</p>"
<p>&bull; Navy blue tank top - cotton.<br />&bull; Feminine scoop neckline.<br />&bull; Power mesh lining in shelf bra for superior support.<br />&bull; Soft,tanks-women,
MJ11-S-Black,Typhon Performance Fleece-lined Jacket-S-Black,"<p>Ironmen and couch warriors both reach for the Typhon Performance Fleece-lined Jacket. After all, no man can resist ultra-soft microfleece lining. Flatlock seams make it ideal for wearing over everything from tanks and tees to high-tech base layers.</p>"
"<p>&bull; Black full-zip flight jacket.<br />&bull; Cocona&reg; wicking fiber.<br />&bull; Machine wash/dry.</p>\"",,
MP07-36-Purple,Thorpe Track Pant-36-Purple,"<p>Thirty degree temps are chilly for most, except when you're in Thorpe Track Pants. These top-of-the-line track bottoms are made from fast-drying, weather-resistant fabric with an internal breathable layer of mesh nylon to wick away moisture.</p>"
"<p>&bull; Moisture transfer properties. <br />&bull; 7% stretch.<br />&bull; Reflective safety trim.<br />&bull; Elastic drawcord waist.</p>\"",,
WP01-29-White,Karmen Yoga Pant-29-White,"<p>Good for running, hiking, lounging or stretching, the Cora Parachute Pant presents comfortable styling designed to help you look and feel great.</p>"
"<p>&bull; Light blue parachute pants.<br />&bull; Power mesh internal waistband for support.<br />&bull; Internal waistband pocket.<br />&bull; Antimicrobial finish.</p>\"",,
WS10-XS-Yellow,Karissa V-Neck Tee-XS-Yellow,"<p>The Karissa V-Neck Tee features a semi-fitted shape that's flattering for every figure. You can hit the gym with confidence while it hugs curves and hides common \"problem\" areas.</p>"
"<p>&bull; Pink heather soft v-neck tee. <br />&bull; Luma signature micro sleeves.<br />&bull; Semi-fitted. <br />&bull; Machine wash/dry.</p>\"",,
MSH06-33-Blue,Lono Yoga Short-33-Blue,"<p>Some shorts are &ldquo;all-purpose,&rdquo; while the Lono Yoga Short has a single purpose: yoga. Soft, flexible outer material moves with your body, and a secure, integrated boxer brief liner gives you extra confidence as you push your physique to the outer limits.</p>"
<p>&bull; Dark gray shorts with mesh accents.<br />&bull; Ultra flexible four-way stretch.<br />&bull; Flatlock seams and waistband.<br />&bull; Two pockets,"Polyester/Lycra inner.</p>\"",
MJ01-M-Orange,Beaumont Summit Kit-M-Orange,"<p>The smooth nylon shell around the Beaumont Summit Kit combats wind, reinforced with a cold-fighting brushed fleece layer. The jacket is reversible, giving you a new look for the return trek. Ample pocket space rounds out this hiker's paradise package.</p>"
"<p>&bull; Yellow full zip rain jacket.<br />&bull; Full-zip front. <br />&bull; Stand-up collar. <br />&bull; Elasticized cuffs. <br />&bull; Machine wash/dry.</p>\"",,
MJ09-L-Blue,Taurus Elements Shell-L-Blue,"<p>What's a little rain or snow when you're inside the Taurus Elements Shell? This specially engineered Cocona&reg; jacket lets you enjoy the great outdoors and brave the elements, thanks to the all-waterproof, breathable exterior.</p>"
<p>&bull; Yellow 1/4 zip pullover. <br />&bull; Two chest pockets.<br />&bull; Standard fit. <br />&bull; Waterproof,"seam sealed. <br />&bull; Cocona&reg; performance fabric. <br />&bull; Machine wash/dry.</p>\"",
WS10-M-Yellow,Karissa V-Neck Tee-M-Yellow,"<p>The Karissa V-Neck Tee features a semi-fitted shape that's flattering for every figure. You can hit the gym with confidence while it hugs curves and hides common \"problem\" areas.</p>"
"<p>&bull; Pink heather soft v-neck tee. <br />&bull; Luma signature micro sleeves.<br />&bull; Semi-fitted. <br />&bull; Machine wash/dry.</p>\"",,
WB01-XS-Purple,Electra Bra Top-XS-Purple,"<p>A heavenly soft and stylish eco garment, the Electra Bra Top is perfect for wearing on its own as a hot yoga top or layered under a tank.</p>"
"<p>&bull; Gray rouched bra top.<br />&bull; Attractive back straps feature contrasting motif fabric.<br />&bull; Interior bra top is lined with breathable mesh.<br />&bull; Elastic underband for superior support.<br />&bull; Removable cup inserts.<br />&bull; Chafe-free flat lock seams provide added comfort.</p>\"",,
MH03-M-Blue,Bruno Compete Hoodie-M-Blue,"<p>Stay comfortable and stay in the race no matter what the weather's up to. The Bruno Compete Hoodie's water-repellent exterior shields you from the elements, while advanced fabric technology inside wicks moisture to keep you dry.</p>"
"<p>&bull; Full zip black hoodie pullover. <br />&bull; Adjustable drawstring hood. <br />&bull; Ribbed cuffs/waistband. <br />&bull; Kangaroo pocket. <br />&bull; Machine wash/dry.</p>\"",,
WS05-M-Yellow,Desiree Fitness Tee-M-Yellow,"<p>When you're too far to turn back, thank yourself for choosing the Desiree Fitness Tee. Its ultra-lightweight, ultra-breathable fabric wicks sweat away from your body and helps keeps you cool for the distance.</p>"
"<p>&bull; Short-Sleeves.<br />&bull; Performance fabric.<br />&bull; Machine wash/line dry.</p>\"",,
MS08-M-Red,Strike Endurance Tee-M-Red,"<p>While grit and purpose keep you going, it helps to have a little extra comfort, too. Our Strike Long-Sleeve Endurance Tee helps ensures a photo-ready finish with advanced sweat-wicking technology for a cool, dry feel.</p>"
"<p>&bull; Loose fit. <br />&bull; Ribbed cuffs/collar. <br />&bull; Machine wash/dry.</p>\"",,
MSH01-36-Red,Cobalt CoolTech&trade; Fitness Short-36-Red,"<p>It's not rocket surgery: the hotter your conditions, the more you need to stay cool. That's why the Cobalt CoolTech&trade; Fitness Short features built-in technology and side perforations that keep you ventilated and comfortable for the distance. The elastic waist promises a personalized fit.</p>"
"<p>&bull; Light blue nylon shorts.<br />&bull; Relaxed fit. <br />&bull; 5\\" inseam. <br />&bull; Machine wash/dry.</p>\"",,
MS09-L-Black,Ryker LumaTech&trade; Tee (Crew-neck)-L-Black,<p>The crew-neck Ryker LumaTech&trade; Tee hides premium performance technology beneath unassuming looks. The featherweight blend of fabrics wicks away moisture to keep you cool and dry in every phase of your active life.</p>
"<p>&bull; Royal polyester tee with black accents.<br />&bull; Relaxed fit. <br />&bull; Short-Sleeve. <br />&bull; Machine wash/dry.</p>\"",,
WH02-M-Orange,Hera Pullover Hoodie-M-Orange,"<p>Get ready to rule the studio and dominate the yoga mat in the Hera Pullover Hoodie, a cozy yet classy look for any level of yogi.</p>"
"<p>&bull; Teal with purple stiching.<br />&bull; Hoodie pullover.<br />&bull; Snug fit.</p>\"",,
MP12-32-Red,Cronus Yoga Pant -32-Red,"<p>Guys who love yoga love this all-purpose yoga pant. Designed for yoga, gym and lounge, the Cronus Yoga Pant is a loose-fitting, classic-style pant made from a lightweight blend of cotton, recycled polyester and a touch of Spandex for the stretch factor.</p>"
<p>&bull; Drawstring waist.<br />&bull; Loose,pants-men,
WH03-M-Purple,Autumn Pullie-M-Purple,"<p>With ultra-soft fleece fabric and an athletic design, our short-sleeve Autumn Pullie delivers a comfortable fit that makes it an everyday essential. A luxurious roll neck protects you from elements.</p>"
